strategy,n,time
DoublingFibonacci,0,2.2708249161951244e-05
DoublingFibonacci,2000,9.083014447242022e-06
DoublingFibonacci,6000,2.8875001589767635e-05
DoublingFibonacci,10000,5.129100463818759e-05
DoublingFibonacci,14000,7.587499567307532e-05
DoublingFibonacci,18000,0.0001192500058095
DoublingFibonacci,22000,0.0001742080057738
DoublingFibonacci,26000,0.0001751250092638
DoublingFibonacci,30000,0.0002491250052116
DoublingFibonacci,34000,0.0003225419932277
DoublingFibonacci,38000,0.0004195830115349
DoublingFibonacci,42000,0.000481958995806
DoublingFibonacci,46000,0.0005927909951424
DoublingFibonacci,48000,0.000632791998214
DoublingFibonacci,52000,0.0005359999922802
DoublingFibonacci,56000,0.0006494999979622
DoublingFibonacci,60000,0.0007463540023309
DoublingFibonacci,64000,0.0007882500067353
DoublingFibonacci,68000,0.0009449159988434
DoublingFibonacci,72000,0.0010204590071225
DoublingFibonacci,76000,0.0012327919976087
DoublingFibonacci,80000,0.0013171669997973
DoublingFibonacci,84000,0.0014225420018192
DoublingFibonacci,88000,0.0016059999907156
DoublingFibonacci,92000,0.0017236670100828
DoublingFibonacci,94000,0.0018375829968135
DoublingFibonacci,98000,0.0015569160023005
DoublingFibonacci,102000,0.001615250002942
DoublingFibonacci,106000,0.0017453339969506
DoublingFibonacci,110000,0.0018214169976999
DoublingFibonacci,114000,0.0019719589909072
DoublingFibonacci,118000,0.0020619999995687
DoublingFibonacci,122000,0.0022760830033803
DoublingFibonacci,126000,0.0024109160003717
DoublingFibonacci,130000,0.0026113749918295
DoublingFibonacci,134000,0.0026990420010406
DoublingFibonacci,138000,0.0028949580009793
DoublingFibonacci,142000,0.0032052080059656
DoublingFibonacci,144000,0.0033456669916631
DoublingFibonacci,148000,0.0032978750095935
DoublingFibonacci,152000,0.0036738339986186
DoublingFibonacci,156000,0.003713666999829
DoublingFibonacci,160000,0.0040201875017373
DoublingFibonacci,164000,0.0041049590072361
DoublingFibonacci,168000,0.0042967920016963
DoublingFibonacci,172000,0.0045339999924181
DoublingFibonacci,176000,0.0048521669959882
DoublingFibonacci,180000,0.0052732915064552
DoublingFibonacci,184000,0.0053754580003442
DoublingFibonacci,188000,0.0056362500035902
DoublingFibonacci,190000,0.0056174169876612
DoublingFibonacci,194000,0.0050324580079177
DoublingFibonacci,198000,0.0047121660027187
DoublingFibonacci,202000,0.0045695419976254
DoublingFibonacci,206000,0.0047062910016393
DoublingFibonacci,210000,0.0051093750080326
DoublingFibonacci,214000,0.0050935829931404
DoublingFibonacci,218000,0.0053026660025352
DoublingFibonacci,222000,0.0053515829931711
DoublingFibonacci,226000,0.0056852080015232
DoublingFibonacci,230000,0.0057647080102469
